location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,yorubaense,NA,25% in P1b,"Açikalin et al., 2015",0.25 in plfor_B_P1b,LO,NA,NA,64.8791,30.4
Mudurnu Basin,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,yorubaense,NA,75% Pa,"Açikalin et al., 2015",0.75 in plfor_B_Pa,FO,NA,NA,65.8005,30.4
Mudurnu Basin,Gonyaulacaceae,other,Lanternosphaeridium,reinhardtii,NA,50% P0,"Açikalin et al., 2015",0.5 in plfor_B_P0,FO,NA,NA,66.02000000000001,30.4
Mudurnu Basin,Gonyaulacaceae,other,Lanternosphaeridium,reinhardtii,NA,33% in Pa,"Açikalin et al., 2015",0.33 in plfor_B_Pa,LO,NA,NA,65.91222,30.4
Mudurnu Basin,Protoperidiniaceae,all,Lejeunecysta,izerzenensis,NA,0% P0,"Açikalin et al., 2015",0 in plfor_B_P0,FO,NA,NA,66.04,30.4
Mudurnu Basin,Protoperidiniaceae,all,Lejeunecysta,izerzenensis,NA,100% in P0,"Açikalin et al., 2015",1 in plfor_B_P0,LO,NA,NA,66,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Manumiella,druggii,NA,20% in P0,"Açikalin et al., 2015",0.2 in plfor_B_P0,LO,NA,NA,66.03200000000001,30.4
Mudurnu Basin,Order Gonyaulacales Family uncertain,uncertain,Membranilarnacia,tenella,NA,10% P0,"Açikalin et al., 2015",0.1 in plfor_B_P0,FO,NA,NA,66.036,30.4
Mudurnu Basin,Order Gonyaulacales Family uncertain,uncertain,Membranilarnacia,tenella,NA,40% in P1b,"Açikalin et al., 2015",0.4 in plfor_B_P1b,LO,NA,NA,64.68824,30.4
Mudurnu Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,saghirum,NA,33% in P1b,"Açikalin et al., 2015",0.33 in plfor_B_P1b,LO,NA,NA,64.77730799999999,30.4
Mudurnu Basin,Areoligeraceae,all,Palynodinium,grallator,NA,33% P1a,"Açikalin et al., 2015",0.33 in plfor_B_P1a,LO,NA,NA,65.55685600000001,30.4
Mudurnu Basin,Areoligeraceae,all,Senoniasphaera,inornata,NA,20% P0,"Açikalin et al., 2015",0.2 in plfor_B_P0,FO,NA,NA,66.03200000000001,30.4
Mudurnu Basin,Areoligeraceae,all,Senoniasphaera,inornata,NA,50% in Pa,"Açikalin et al., 2015",0.5 in plfor_B_Pa,LO,NA,NA,65.867,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Spinidinium,densispinatum,NA,25% P0,"Açikalin et al., 2015",0.25 in plfor_B_P0,FO,NA,NA,66.03,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Spinidinium,densispinatum,NA,20% in P1b,"Açikalin et al., 2015",0.2 in plfor_B_P1b,LO,NA,NA,64.94272,30.4
Mudurnu Basin,Gonyaulacaceae,Gonyaulacoideae,Spiniferella,cornuta,NA,30% P0,"Açikalin et al., 2015",0.3 in plfor_B_P0,FO,NA,NA,66.028,30.4
Mudurnu Basin,Peridiniaceae,Deflandreoideae,Trithyrodinium,evittii,NA,33% in P1b,"Açikalin et al., 2015",0.33 in plfor_B_P1b,LO,NA,NA,64.77730799999999,30.4
Vega,Areoligeraceae,all,Adnatosphaeridium,hartzii,NA,0% in baylei,"Århus et al., 1989",0 in amm_b_Pictonia baylei,FO,NA,NA,154.78,53.17664296666667
Vega,Gonyaulacaceae,Leptodinioideae,Ambonosphaera,calloviana,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Pareodiniaceae,all,Arkellea,teichophera,NA,15% in athleta,"Århus et al., 1989",0.15 in amm_b_Peltoceras athleta,FO,NA,NA,162.841,53.47882263125
Vega,Order Gonyaulacales Family uncertain,uncertain,Atopodinium,prostatum,NA,50% in cordatum,"Århus et al., 1989",0.5 in amm_b_Cardioceras cordatum,FO,NA,NA,159.38,53.626326125
Vega,Gonyaulacaceae,other,Chytroeisphaeridia,cerastes,NA,20% in athleta,"Århus et al., 1989",0.2 in amm_b_Peltoceras athleta,FO,NA,NA,162.81799999999998,53.4798028625
Vega,Gonyaulacaceae,other,Compositosphaeridium,polonicum,NA,50% in cordatum,"Århus et al., 1989",0.5 in amm_b_Cardioceras cordatum,FO,NA,NA,159.38,53.626326125
Vega,Gonyaulacaceae,Leptodinioideae,Ctenidodinium,thulium,NA,10% in athleta,"Århus et al., 1989",0.1 in amm_b_Peltoceras athleta,FO,NA,NA,162.864,53.4778424
Vega,Gonyaulacaceae,Leptodinioideae,Ctenidodinium,continuum,NA,10% in athleta,"Århus et al., 1989",0.1 in amm_b_Peltoceras athleta,FO,NA,NA,162.864,53.4778424
Vega,Gonyaulacaceae,Leptodinioideae,Endoscrinium,reticulatum,NA,20% in athleta,"Århus et al., 1989",0.2 in amm_b_Peltoceras athleta,FO,NA,NA,162.81799999999998,53.4798028625
Vega,Gonyaulacaceae,Gonyaulacoideae,Escharisphaeridia,pocockii,NA,10% in athleta,"Århus et al., 1989",0.1 in amm_b_Peltoceras athleta,FO,NA,NA,162.864,53.4778424
Vega,Pareodiniaceae,all,Evansia,cerebraloides,NA,0% in athleta,"Århus et al., 1989",0 in amm_b_Peltoceras athleta,FO,NA,NA,162.91,53.4758819375
Vega,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,longicornis,60% in cordatum,"Århus et al., 1989",0.6 in amm_b_Cardioceras cordatum,FO,NA,NA,159.32399999999998,53.628712775
Vega,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,dentata,NA,50% in cordatum,"Århus et al., 1989",0.5 in amm_b_Cardioceras cordatum,FO,NA,NA,159.38,53.626326125
Vega,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,eisenackii,NA,10% in athleta,"Århus et al., 1989",0.1 in amm_b_Peltoceras athleta,FO,NA,NA,162.864,53.4778424
Vega,Gonyaulacaceae,Gonyaulacoideae,Gonyaulacysta,jurassica,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Cladopyxiaceae,all,Korystocysta,pachyderma,NA,10% in athleta,"Århus et al., 1989",0.1 in amm_b_Peltoceras athleta,FO,NA,NA,162.864,53.4778424
Vega,Gonyaulacaceae,Leptodinioideae,Leptodinium,arcuatum,NA,15% in athleta,"Århus et al., 1989",0.15 in amm_b_Peltoceras athleta,FO,NA,NA,162.841,53.47882263125
Vega,Gonyaulacaceae,Leptodinioideae,Leptodinium,subtile,NA,75% in baylei,"Århus et al., 1989",0.75 in amm_b_Pictonia baylei,FO,NA,NA,153.745,53.013197491666666
Vega,Gonyaulacaceae,Leptodinioideae,Leptodinium,mirabile,NA,50% in rosenkrantzi,"Århus et al., 1989",0.7 in amm_b_Ringsteadia pseudocordata,FO,NA,NA,155.512,53.29223918666666
Vega,Gonyaulacaceae,Leptodinioideae,Lithodinia,jurassica,NA,50% in baylei,"Århus et al., 1989",0.5 in amm_b_Pictonia baylei,FO,NA,NA,154.09,53.06767931666667
Vega,Order Gonyaulacales Family uncertain,uncertain,Mendicodinium,groenlandicum,NA,20% in athleta,"Århus et al., 1989",0.2 in amm_b_Peltoceras athleta,FO,NA,NA,162.81799999999998,53.4798028625
Vega,misc,misc,Palaeostomocystis,tornatilis,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Pareodiniaceae,all,Paragonyaulacysta,borealis,NA,50% in rosenkrantzi,"Århus et al., 1989",0.7 in amm_b_Ringsteadia pseudocordata,FO,NA,NA,155.512,53.29223918666666
Vega,Pareodiniaceae,all,Pareodinia,ceratophora,NA,20% in athleta,"Århus et al., 1989",0.2 in amm_b_Peltoceras athleta,FO,NA,NA,162.81799999999998,53.4798028625
Vega,Gonyaulacaceae,Leptodinioideae,Rigaudella,caulleryi,NA,50% in cordatum,"Århus et al., 1989",0.5 in amm_b_Cardioceras cordatum,FO,NA,NA,159.38,53.626326125
Vega,Gonyaulacaceae,other,Scriniodinium,crystallinum,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Gonyaulacaceae,other,Scriniodinium,anceps,NA,50% in baylei,"Århus et al., 1989",0.5 in amm_b_Pictonia baylei,FO,NA,NA,154.09,53.06767931666667
Vega,Gonyaulacaceae,Leptodinioideae,Sirmiodinium,grossii,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Gonyaulacaceae,other,Trichodinium,scarburghensis,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
Vega,Order Gonyaulacales Family uncertain,uncertain,Valensiella,ovulum,NA,5% in athleta,"Århus et al., 1989",0.05 in amm_b_Peltoceras athleta,FO,NA,NA,162.887,53.476862168749996
U1307,Gonyaulacaceae,Gonyaulacoideae,Ataxiodinium,confusum,NA,67% C2An.1n,"Aubry et al., 2020",0.67 in mag_C2An.1n,LO,NA,NA,2.73921,57.052075929100006
U1307,Protoperidiniaceae,all,Barssidinium,graminosum,NA,67% C2An.1n,"Aubry et al., 2020",0.67 in mag_C2An.1n,LO,NA,NA,2.73921,57.052075929100006
U1307,Protoperidiniaceae,all,Barssidinium,pliocenicum,NA,95% C2An.1n,"Aubry et al., 2020",0.95 in mag_C2An.1n,LO,NA,NA,2.6168500000000003,57.1218566135
U1307,Gonyaulacaceae,Gonyaulacoideae,Impagidinium,solidum,NA,50% C2An.1n,"Aubry et al., 2020",0.5 in mag_C2An.1n,LO,NA,NA,2.8135000000000003,57.009709085000004
959,Areoligeraceae,all,Adnatosphaeridium,vittanum,NA,90% CP6,"Awad and Oboh-Ikenobe, 2016",0.9 in nan_c_CP6,FO,NA,NA,57.63784,-9.021218103599999
959,Areoligeraceae,all,Adnatosphaeridium,ivoriense,NA,10% CP8b,"Awad and Oboh-Ikenobe, 2016",0.1 in nan_c_CP8b,FO,NA,NA,55.890131,-8.780992883109999
959,Areoligeraceae,all,Adnatosphaeridium,ivoriense,NA,50% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8b,LO,NA,NA,55.446655,-8.70657317555
959,Areoligeraceae,all,Adnatosphaeridium,vittanum,NA,20% in CP9b,"Awad and Oboh-Ikenobe, 2016",0.2 in nan_c_CP9b,LO,NA,NA,53.859648,-8.443893187495386
959,Peridiniaceae,Wetzelielloideae,Apectodinium,homomorphum,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Peridiniaceae,Wetzelielloideae,Apectodinium,homomorphum,NA,50% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8b,LO,NA,NA,55.446655,-8.70657317555
959,Areoligeraceae,all,Areoligera,gippingensis,NA,90% in CP6,"Awad and Oboh-Ikenobe, 2016",0.9 in nan_c_CP6,LO,NA,NA,57.63784,-9.021218103599999
959,Order Gonyaulacales Family uncertain,uncertain,Batiacasphaera,spp.,NA,50% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8a,LO,NA,NA,56.612049999999996,-8.88231075075
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,gracile,NA,0% CP9a,"Awad and Oboh-Ikenobe, 2016",0 in nan_c_CP9a,FO,NA,NA,54.89231,-8.6135485411
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,fibrospinosum,NA,0% CP9b,"Awad and Oboh-Ikenobe, 2016",0 in nan_c_CP9b,FO,NA,NA,54.09206,-8.4792585886
959,Peridiniaceae,Deflandreoideae,Deflandrea,oebisfeldensis,NA,90% CP6,"Awad and Oboh-Ikenobe, 2016",0.9 in nan_c_CP6,FO,NA,NA,57.63784,-9.021218103599999
959,Peridiniaceae,Deflandreoideae,Deflandrea,oebisfeldensis,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Goniodomaceae,all,Eocladopyxis,furculum,NA,50% CP8a,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8a,FO,NA,NA,56.612049999999996,-8.88231075075
959,Goniodomaceae,all,Eocladopyxis,furculum,NA,75% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.75 in nan_c_CP8a,LO,NA,NA,56.306525,-8.840938082874999
959,Areoligeraceae,all,Glaphyrocysta,divaricata,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Areoligeraceae,all,Glaphyrocysta,ordinata,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Areoligeraceae,all,Glaphyrocysta,ordinata,NA,90% in CP6,"Awad and Oboh-Ikenobe, 2016",0.9 in nan_c_CP6,LO,NA,NA,57.63784,-9.021218103599999
959,Gonyaulacaceae,Gonyaulacoideae,Hafniasphaera,hyalospinosa,NA,0% CP8a,"Awad and Oboh-Ikenobe, 2016",0 in nan_c_CP8a,FO,NA,NA,57.2231,-8.965056086499999
959,Gonyaulacaceae,Gonyaulacoideae,Hafniasphaera,hyalospinosa,NA,50% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8a,LO,NA,NA,56.612049999999996,-8.88231075075
959,Goniodomaceae,all,Homotryblium,abbreviatum,NA,50% CP7,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP7,FO,NA,NA,57.356300000000005,-8.9830933645
959,Goniodomaceae,all,Homotryblium,tenuispinosum,NA,50% CP7,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP7,FO,NA,NA,57.356300000000005,-8.9830933645
959,Goniodomaceae,all,Homotryblium,abbreviatum,NA,50% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8b,LO,NA,NA,55.446655,-8.70657317555
959,Goniodomaceae,all,Homotryblium,tenuispinosum,NA,20% in CP9b,"Awad and Oboh-Ikenobe, 2016",0.2 in nan_c_CP9b,LO,NA,NA,53.859648,-8.443893187495386
959,Gonyaulacaceae,Gonyaulacoideae,Impagidinium,celinae,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,orchiesense,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,yorubaense,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,orchiesense,NA,50% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8a,LO,NA,NA,56.612049999999996,-8.88231075075
959,Gonyaulacaceae,Cribroperidinioideae,Kallosphaeridium,yorubaense,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Gonyaulacaceae,other,Melitasphaeridium,pseudorecurvatum,NA,80% CP6,"Awad and Oboh-Ikenobe, 2016",0.8 in nan_c_CP6,FO,NA,NA,57.78618,-9.0413055647
959,Gonyaulacaceae,other,Melitasphaeridium,pseudorecurvatum,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Gonyaulacaceae,Cribroperidinioideae,Muratodinium,fimbriatum,NA,0% CP9a,"Awad and Oboh-Ikenobe, 2016",0 in nan_c_CP9a,FO,NA,NA,54.89231,-8.6135485411
959,Gonyaulacaceae,Cribroperidinioideae,Muratodinium,fimbriatum,NA,20% in CP9b,"Awad and Oboh-Ikenobe, 2016",0.2 in nan_c_CP9b,LO,NA,NA,53.859648,-8.443893187495386
959,Peridiniaceae,Deflandreoideae,Palaeocystodinium,golzowense,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Goniodomaceae,all,Polysphaeridium,subtile,NA,90% CP6,"Awad and Oboh-Ikenobe, 2016",0.9 in nan_c_CP6,FO,NA,NA,57.63784,-9.021218103599999
959,Gonyaulacaceae,Gonyaulacoideae,Spiniferella,cornuta,NA,25% in CP8b,"Awad and Oboh-Ikenobe, 2016",0.25 in nan_c_CP8b,LO,NA,NA,55.7238275,-8.753085492775
959,Gonyaulacaceae,Gonyaulacoideae,Tectatodinium,nigeriaense,NA,15% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.15 in nan_c_CP8a,LO,NA,NA,57.039785,-8.940232485774999
959,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,delicata,NA,50% in CP8a,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP8a,LO,NA,NA,56.612049999999996,-8.88231075075
959,Peridiniaceae,Wetzelielloideae,Wilsonidinium,nigeriaense,NA,50% CP7,"Awad and Oboh-Ikenobe, 2016",0.5 in nan_c_CP7,FO,NA,NA,57.356300000000005,-8.9830933645
959,Peridiniaceae,Wetzelielloideae,Wilsonidinium,nigeriaense,NA,55% in CP7,"Awad and Oboh-Ikenobe, 2016",0.55 in nan_c_CP7,LO,NA,NA,57.342980000000004,-8.9812896367
959,Gonyaulacaceae,other,Habibacysta,tectata,NA,50% CN2,"Awad and Oboh-Ikenobe, 2019",0.5 in nan_c_CN2,LO,NA,NA,18.475,-2.8636846000000005
959,Goniodomaceae,all,Heteraulacacysta,campanula,NA,0% CN2,"Awad and Oboh-Ikenobe, 2019",0 in nan_c_CN2,LO,NA,NA,19.01,-3.0275101600000003
959,Gonyaulacaceae,Cribroperidinioideae,Achilleodinium,biannii,NA,80% selandian,"Masure et al., 1998",0.8 in stage_Selandian,FO,NA,NA,59.724000000000004,-9.30371546
959,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,triangulata,NA,100% in maastrichtian,"Masure et al., 1998",1 in stage_Maastrichtian,LO,NA,NA,66.04,-8.802277933333333
959,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,verdieri,NA,50% in coniacian,"Masure et al., 1998",0.5 in stage_Coniacian,FO,NA,NA,87.545,-5.2155249928571425
959,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,verdieri,NA,0% in santonian,"Masure et al., 1998",0 in stage_Santonian,LO,NA,NA,85.7,-5.6991495714285705
959,Peridiniaceae,Deflandreoideae,Alterbidinium,varium,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Peridiniaceae,Deflandreoideae,Alterbidinium,varium,NA,80% in maastrichtian,"Masure et al., 1998",0.8 in stage_Maastrichtian,LO,NA,NA,67.266,-8.638407367777777
959,Peridiniaceae,Deflandreoideae,Andalusiella,mauthei,NA,0% campanian,"Masure et al., 1998",0 in stage_Campanian,FO,NA,NA,83.65,-6.236510214285713
959,Peridiniaceae,Deflandreoideae,Andalusiella,rhomboides,NA,0% campanian,"Masure et al., 1998",0 in stage_Campanian,FO,NA,NA,83.65,-6.236510214285713
959,Peridiniaceae,Deflandreoideae,Andalusiella,mauthei,NA,50% in campanian,"Masure et al., 1998",0.5 in stage_Campanian,LO,NA,NA,77.91,-7.215700761111111
959,Peridiniaceae,Deflandreoideae,Andalusiella,gabonensis,NA,0% in danian,"Masure et al., 1998",0 in stage_Danian,LO,NA,NA,66.04,-8.802277933333333
959,Peridiniaceae,Deflandreoideae,Andalusiella,rhomboides,NA,0% in danian,"Masure et al., 1998",0 in stage_Danian,LO,NA,NA,66.04,-8.802277933333333
959,Peridiniaceae,Deflandreoideae,Andalusiella,gabonensis,NA,0% maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Peridiniaceae,Deflandreoideae,Andalusiella,ivoirensis,NA,0% maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Peridiniaceae,Deflandreoideae,Andalusiella,ivoirensis,NA,10% in maastrichtian,"Masure et al., 1998",0.1 in stage_Maastrichtian,LO,NA,NA,71.557,-8.064860388333333
959,Areoligeraceae,all,Areoligera,coronata,NA,0% danian,"Masure et al., 1998",0 in stage_Danian,FO,NA,NA,66.04,-8.802277933333333
959,Areoligeraceae,all,Areoligera,senonensis,NA,0% in danian,"Masure et al., 1998",0 in stage_Danian,LO,NA,NA,66.04,-8.802277933333333
959,Areoligeraceae,all,Areoligera,coronata,NA,67% in danian,"Masure et al., 1998",0.67 in stage_Danian,LO,NA,NA,63.1054,-9.134472210999999
959,Areoligeraceae,all,Areoligera,senonensis,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Areoligeraceae,all,Areoligera,volata,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Areoligeraceae,all,Areoligera,volata,NA,0% thanetian,"Masure et al., 1998",0 in stage_Thanetian,LO,NA,NA,59.24,-9.238174599999999
959,Peridiniaceae,Deflandreoideae,Cerodinium,granulostriatum,NA,50% campanian,"Masure et al., 1998",0.5 in stage_Campanian,FO,NA,NA,77.91,-7.215700761111111
959,Peridiniaceae,Deflandreoideae,Cerodinium,diebelii,NA,100% in Danian,"Masure et al., 1998",1 in stage_Danian,LO,NA,NA,61.66,-9.2306419
959,Peridiniaceae,Deflandreoideae,Cerodinium,leptodermum,NA,100% in Danian,"Masure et al., 1998",1 in stage_Danian,LO,NA,NA,61.66,-9.2306419
959,Peridiniaceae,Deflandreoideae,Cerodinium,diebelii,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Peridiniaceae,Deflandreoideae,Cerodinium,leptodermum,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Peridiniaceae,Deflandreoideae,Cerodinium,granulostriatum,NA,80% in maastrichtian,"Masure et al., 1998",0.8 in stage_Maastrichtian,LO,NA,NA,67.266,-8.638407367777777
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,varians,NA,0% Danian,"Masure et al., 1998",0 in stage_Danian,LO,NA,NA,66.04,-8.802277933333333
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,inodes,NA,40% in Danian,"Masure et al., 1998",0.4 in stage_Danian,LO,NA,NA,64.288,-9.03645512
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,inodes,NA,0% in maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,FO,NA,NA,72.17,-7.982925105555555
959,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,varians,NA,50% in maastrichtian,"Masure et al., 1998",0.5 in stage_Maastrichtian,FO,NA,NA,69.105,-8.392601519444444
959,Gonyaulacaceae,other,Coronifera,oceanica,NA,50% in coniacian,"Masure et al., 1998",0.5 in stage_Coniacian,FO,NA,NA,87.545,-5.2155249928571425
959,Areoligeraceae,all,Cyclonephelium,deconinckii,NA,0% campanian,"Masure et al., 1998",0 in stage_Campanian,LO,NA,NA,83.65,-6.236510214285713
959,Gonyaulacaceae,Cribroperidinioideae,Danea,californica,NA,0% danian,"Masure et al., 1998",0 in stage_Danian,FO,NA,NA,66.04,-8.802277933333333
959,Order Gonyaulacales Family uncertain,uncertain,Dapsilidinium,laminaspinosum,NA,0% Maastrichtian,"Masure et al., 1998",0 in stage_Maastrichtian,LO,NA,NA,72.17,-7.982925105555555
959,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,denticulatum,NA,50% in coniacian,"Masure et al., 1998",0.5 in stage_Coniacian,FO,NA,NA,87.545,-5.2155249928571425
959,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,cretaceum,NA,100% in santonian,"Masure et al., 1998",1 in stage_Santonian,LO,NA,NA,83.65,-6.236510214285713
959,Ptychodiscaceae,Dinogymnioideae,Dinogymnium,denticulatum,NA,50% in santonian,"Masure et al., 1998",0.5 in stage_Santonian,LO,NA,NA,84.67500000000001,-5.967829892857139
959,Goniodomaceae,all,Dinopterygium,alatum,NA,50% in coniacian,"Masure et al., 1998",0.5 in stage_Coniacian,FO,NA,NA,87.545,-5.2155249928571425
959,Goniodomaceae,all,Dinopterygium,vozzhennikovae,NA,75% in maastrichtian,"Masure et al., 1998",0.75 in stage_Maastrichtian,LO,NA,NA,67.5725,-8.597439726388888
